table sam0(s0,ss0) Billions of Current USD	
              pdr           wht           gro           v_f           osd           c_b           pfb           ocr           ctl           oap           rmk           wol           frs           fsh           coa           oil           gas           omn           cmt           omt           vol           mil           pcr           sgr           ofd           b_t           tex           wap           lea           lum           ppp           p_c           crp           nmm           i_s           nfm           fmp           mvh           otn           ele           ome           omf           ely           gdt           wtr           cns           trd           otp           wtp           atp           cmn           ofi           isr           obs           ros           osg           dwe           UnSkil        Skill         Captl         LandR         natrs         hhsld         gov           inv           depry         trdmg         indtx         prdtx         imptx         exptx         dirtx         row
rmk           2.412E-02     2.501E+00     5.181E-01     2.388E+00     1.492E+00     8.595E-03     1.139E-02     5.930E-01     1.448E-02     2.920E-03     1.066E+01     9.145E-03     2.122E+00     5.324E-03     1.003E-02     2.282E-02     4.310E-07     1.509E-01     9.806E-01     1.711E-01     3.753E-02     2.612E+00     2.349E-03     6.175E-03     5.203E-01     9.168E-02     1.055E+00     2.034E+00     5.648E+00     1.428E-02     5.012E-10     2.843E+00     1.652E-22     5.839E-02     3.254E-13     2.118E-01     3.366E-20     2.806E-17     7.734E-11     3.436E-25     1.016E-23     1.176E-24     4.157E-02     1.164E-06     1.013E-03     1.500E-01     8.963E+00     1.214E+00     4.740E-01     7.500E-07     7.956E-04     4.544E-04     1.650E-04     7.386E-02     2.475E-01     6.145E-01     4.202E-04     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     3.096E+00     0.000E+00     3.496E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     5.520E+01
wol           2.180E-04     1.803E-02     1.177E-04     1.088E-02     1.349E-02     7.772E-05     1.031E-04     5.363E-03     2.072E-02     5.026E-03     2.963E-03     1.568E+00     1.351E-02     3.390E-05     6.390E-05     8.387E-05     5.000E-09     9.608E-04     1.064E-01     1.856E-02     4.070E-03     1.285E-02     2.548E-04     6.697E-04     5.643E-02     5.849E-04     2.004E+01     1.302E-02     3.603E-02     9.099E-05     3.301E-13     1.810E-02     6.721E-27     5.699E-04     1.577E-17     1.771E-05     2.168E-22     3.178E-17     4.923E-13     5.840E-23     9.681E-24     5.886E-27     2.230E-04     4.200E-08     6.450E-06     9.555E-04     5.711E-02     1.341E-02     1.678E-03     6.890E-07     5.069E-06     3.717E-06     3.510E-07     4.353E-04     5.289E-05     5.805E-03     2.633E-05     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     2.228E+01     0.000E+00     2.515E+01     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.901E+02
frs           2.080E-06     1.657E-01     2.099E-03     7.661E-02     1.273E-04     7.480E-07     9.820E-07     5.295E-05     3.378E-02     7.736E-03     4.425E-03     3.438E-02     9.573E-04     7.303E-04     9.816E-02     1.284E-06     9.972E-12     1.836E+00     5.763E-02     5.840E-03     7.260E-07     2.070E-06     5.300E-08     1.170E-07     1.092E-02     7.919E-05     1.801E-02     5.327E-03     4.796E-05     3.158E+00     1.458E-12     8.080E-07     1.549E-27     1.576E-03     2.119E-15     4.173E-03     2.261E-19     3.684E-13     8.015E-15     2.161E-21     3.295E-22     1.053E-23     2.033E-01     6.734E-06     1.733E-02     2.943E+00     6.245E-01     3.755E+00     1.837E-01     6.358E-02     8.500E-07     4.780E-07     8.550E-07     3.564E-02     6.828E-02     2.236E-01     1.144E-03     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     6.185E-01     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.426E+01
fsh           8.641E-10     6.260E-07     2.340E-07     1.220E-07     1.910E-07     7.000E-09     6.300E-08     8.600E-08     9.642E-05     9.793E-05     3.976E-06     1.195E-06     1.483E-06     1.162E-04     1.340E-07     8.000E-09     3.880E-14     3.454E-06     2.049E-03     9.182E-05     7.100E-08     1.416E-06     2.000E-09     5.400E-08     9.670E-03     2.212E-06     3.854E-06     2.382E-06     1.228E-06     3.770E-07     4.069E-16     1.200E-08     8.023E-30     3.640E-07     1.272E-18     1.850E-07     1.279E-23     6.467E-16     6.891E-15     7.264E-25     5.345E-22     1.110E-25     1.140E-07     3.092E-11     5.000E-09     2.300E-08     2.922E-01     1.939E-05     3.305E-05     1.406E-06     2.100E-08     7.589E-06     5.400E-07     1.921E-04     1.111E-02     9.744E-04     2.910E-07     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     3.167E-01
coa           3.200E-08     4.510E-03     5.561E-05     1.787E-03     2.011E-06     1.100E-08     1.500E-08     7.850E-07     3.216E-02     7.589E-03     4.171E-03     2.741E-02     3.530E-07     1.415E-11     3.642E-04     4.549E-06     1.400E-08     1.225E-01     1.125E-01     1.148E-02     1.608E-06     2.762E-04     8.200E-08     3.210E-07     1.873E-02     3.438E-01     1.339E-01     1.613E-01     1.728E-03     4.190E-02     1.870E-01     6.721E+00     2.873E-01     2.678E+00     4.260E-01     1.526E-01     1.975E-01     3.856E-02     2.100E-08     1.073E-03     3.227E-02     1.044E-01     1.113E+02     1.180E-02     8.603E-01     2.334E-01     2.055E+00     3.100E+00     3.625E-02     3.360E-02     1.173E-02     8.547E-02     3.290E-03     1.802E-01     2.331E-01     3.747E+00     1.482E-04     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     9.558E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     3.447E+02
oil           1.260E-10     3.300E-07     1.000E-09     4.250E-07     1.000E-08     3.225E-10     5.995E-10     2.000E-09     8.900E-07     8.300E-08     1.020E-07     1.296E-06     1.290E-07     3.000E-09     1.404E-06     3.296E-06     7.200E-08     2.840E-05     2.070E-07     1.700E-08     2.000E-09     4.000E-08     4.926E-11     6.213E-10     1.280E-07     1.210E-07     2.280E-06     3.100E-07     1.190E-07     1.900E-08     3.000E-09     6.780E-07     7.252E-06     2.130E-07     2.300E-08     1.090E-07     2.000E-09     1.600E-08     2.000E-09     8.905E-10     2.000E-09     4.000E-09     8.071E-06     2.846E-05     7.400E-08     1.529E-04     1.790E-07     1.271E-05     1.230E-07     1.880E-07     3.400E-08     1.300E-08     3.000E-09     6.444E-06     5.000E-09     2.300E-08     5.100E-08     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.124E+02
gas           5.597E-13     3.610E-07     1.000E-08     6.600E-08     3.400E-08     4.958E-11     2.513E-11     3.000E-09     1.093E-06     3.740E-07     2.070E-07     3.408E-06     1.040E-07     6.000E-09     5.580E-07     6.202E-06     1.120E-07     4.739E-06     3.930E-07     5.900E-08     7.403E-10     7.800E-08     6.183E-11     1.940E-10     1.760E-07     2.300E-08     7.400E-08     3.100E-08     3.100E-08     1.800E-08     2.200E-08     1.959E-06     5.002E-06     1.457E-06     4.400E-08     4.120E-07     8.388E-10     3.000E-09     4.357E-10     5.000E-09     2.000E-09     3.000E-09     1.970E-04     1.919E-04     6.500E-08     9.682E-05     5.160E-07     1.274E-05     7.000E-09     1.600E-08     8.000E-08     5.000E-09     3.845E-10     3.240E-05     6.500E-08     9.300E-08     1.889E-06     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     5.607E-04
omn           2.290E-07     2.857E-02     3.556E-04     1.148E-02     1.705E-05     9.300E-08     1.180E-07     5.997E-06     1.812E-01     4.173E-02     2.361E-02     1.778E-01     4.140E-04     2.285E-06     1.074E-01     9.077E-03     5.600E-08     5.406E+00     1.489E-02     1.519E-03     2.100E-07     1.292E-03     1.100E-08     3.200E-08     2.519E-03     7.143E-03     3.380E-02     1.964E-02     1.027E-02     4.849E-03     7.350E-11     6.122E-03     5.499E-24     3.168E+00     3.390E-11     1.087E+01     6.739E-18     2.000E-09     7.624E-11     1.432E-18     8.123E-18     4.629E-23     7.922E+00     2.754E-03     5.737E-02     9.905E+00     4.773E-01     9.134E-01     9.443E-02     2.534E-02     1.711E-02     2.470E-02     2.831E-03     6.524E-01     9.472E-02     4.640E-01     3.017E-01     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     2.640E+00     0.000E+00     3.117E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     2.417E+03
cmt           7.228E-05     5.946E-03     4.678E-05     3.599E-03     4.472E-03     2.575E-05     3.414E-05     1.777E-03     1.809E-02     5.394E-03     2.728E-03     1.088E-02     1.450E-06     1.800E-08     8.840E-03     5.819E-03     3.300E-08     1.609E-02     4.577E+00     1.470E-03     2.796E-05     1.806E-04     1.694E-06     4.470E-06     1.065E-03     1.646E-03     7.141E-03     4.094E-04     1.897E-03     2.789E-03     8.552E-13     6.205E-01     4.641E-26     3.969E-03     1.560E-16     3.330E-04     7.994E-20     6.744E-10     3.543E-15     4.697E-19     2.469E-17     2.467E-26     1.421E-01     2.658E-05     9.161E-06     3.458E-02     4.801E-01     1.344E-01     2.425E-02     3.934E-03     3.853E-04     9.241E-05     1.073E-03     1.006E-03     1.088E-01     1.352E-01     1.743E-06     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     7.173E+01     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.131E+02
omt           2.958E-05     2.434E-03     1.593E-05     1.482E-03     1.831E-03     1.054E-05     1.425E-05     7.282E-04     7.522E-04     8.077E-04     2.191E-04     2.516E-03     6.110E-05     4.000E-08     3.620E-03     3.622E-03     2.000E-08     7.332E-03     6.779E-04     1.675E+00     1.856E-05     6.140E-06     1.146E-06     3.037E-06     3.296E-01     2.893E-04     1.902E-03     1.420E-04     1.596E-03     1.710E-03     2.831E-13     3.518E-01     2.127E-26     1.323E-03     1.474E-16     1.402E-04     3.345E-20     2.807E-10     1.552E-15     1.563E-19     9.064E-18     1.167E-26     2.955E-02     9.667E-06     2.821E-06     1.779E-02     1.719E-01     2.243E-02     1.395E-02     1.544E-03     1.624E-04     1.277E-04     3.628E-04     2.477E-04     5.747E-02     3.265E-02     2.945E-06     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.079E+01     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.352E+01
