table sam0(s0,ss0) Billions of Current USD
              pdr           wht           gro           v_f           osd           c_b           pfb           ocr           ctl           oap           rmk           wol           frs           fsh           coa           oil           gas           omn           cmt           omt           vol           mil           pcr           sgr           ofd           b_t           tex           wap           lea           lum           ppp           p_c           crp           nmm           i_s           nfm           fmp           mvh           otn           ele           ome           omf           ely           gdt           wtr           cns           trd           otp           wtp           atp           cmn           ofi           isr           obs           ros           osg           dwe           UnSkil        Skill         Captl         LandR         natrs         hhsld         gov           inv           depry         trdmg         indtx         prdtx         imptx         exptx         dirtx         row
rmk           1.802E-02     7.220E-02     9.945E-02     1.758E+00     3.557E-02     1.555E-02     1.060E+00     9.177E-02     3.998E-01     6.476E-01     2.011E+02     2.045E-01     4.922E-02     2.165E-02     1.197E-02     1.205E-01     2.170E+00     3.079E-03     2.992E-02     9.916E-03     1.970E-03     1.790E+02     8.141E-04     7.329E-04     4.889E-02     4.424E-02     6.255E-01     4.223E-03     3.367E-01     5.497E-04     5.181E-04     4.026E-02     8.901E-06     2.621E-02     7.352E-02     3.042E-01     1.729E-03     5.196E-03     5.340E-03     1.385E-03     1.069E-02     1.472E-10     4.638E-04     6.390E-02     2.175E-05     7.241E-01     1.833E+01     2.008E+00     5.282E+00     7.292E-01     2.232E-01     1.872E-01     3.814E-02     1.106E+00     1.843E-01     7.135E+00     2.230E-07     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     5.585E+01     4.958E+00     1.924E+01     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00
wol           6.384E-05     1.932E-03     1.836E-03     5.433E-02     3.619E-04     1.860E-04     3.391E-02     2.754E-03     1.369E-02     2.067E-02     4.135E-03     3.329E+02     1.145E-03     4.209E-04     2.780E-04     1.615E-03     9.508E-02     6.809E-05     9.608E-04     3.207E-04     6.459E-05     1.876E-03     2.669E-05     2.400E-05     1.577E-03     1.443E-03     2.310E+02     1.119E-04     1.079E-02     9.150E-06     1.662E-05     1.278E-03     2.330E-07     7.682E-04     2.452E-03     9.255E-03     5.564E-05     3.882E-05     8.444E-05     9.207E-05     3.404E-04     5.812E-13     1.138E-05     2.003E-03     7.010E-07     1.200E-02     5.849E-01     1.518E-03     1.440E-01     1.312E-02     1.546E-04     6.612E-03     6.114E-04     2.035E-02     3.203E-03     2.275E-01     1.000E-09     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.189E+02     5.961E+00     3.007E+01     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.210E+01
frs           1.071E-01     1.388E+00     9.781E-01     4.911E+00     2.441E-01     1.143E-02     4.944E+00     1.667E-02     2.358E+00     1.777E+00     1.370E+00     1.991E+00     1.103E+00     2.854E-04     1.304E-01     1.998E-01     1.994E+00     1.160E-01     1.443E-02     3.196E-03     1.159E-03     2.376E-02     4.346E-04     1.472E-04     1.578E-02     1.096E-02     7.387E-02     3.400E-02     2.142E-04     3.252E+00     9.992E-05     1.444E-04     8.180E-07     1.023E-01     2.420E-03     1.885E-02     5.884E-05     4.781E-05     1.434E-02     2.655E-03     3.991E-02     2.160E-13     1.456E-02     3.117E-02     7.466E-04     1.671E+00     2.211E-02     3.591E-01     1.105E-01     1.408E-01     1.380E-03     3.492E-06     3.405E-06     1.990E-01     6.426E-01     1.587E-01     9.749E-06     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     3.297E+00     3.121E+01     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     7.372E-01
fsh           1.301E-04     2.661E-03     1.701E-03     7.279E-03     4.359E-04     2.003E-05     9.145E-03     3.226E-05     5.289E-03     5.270E-03     3.230E-03     1.693E-03     4.550E-07     4.745E+00     1.100E-08     2.250E-07     3.620E-07     3.460E-07     3.223E+00     8.604E-01     2.589E-01     4.736E+00     1.381E-01     4.200E-03     2.786E+00     2.531E-05     1.251E-05     4.140E-07     5.000E-07     2.260E-07     4.900E-08     1.790E-07     3.988E-10     2.131E-06     1.531E-06     3.650E-07     1.930E-07     1.800E-08     4.430E-07     3.000E-09     9.990E-07     3.427E-14     2.654E-05     3.902E-04     1.100E-08     1.260E-07     3.581E-01     3.057E-02     5.120E-02     8.231E-03     4.023E-04     2.081E-05     1.047E-06     6.226E-03     4.292E-01     1.530E+00     2.474E-06     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00
coa           1.480E-03     3.045E-02     1.943E-02     8.311E-02     4.994E-03     1.805E-04     8.527E-02     2.889E-04     5.758E-02     5.623E-02     3.676E-02     1.910E-02     8.524E-04     3.057E-04     1.055E-01     6.826E-03     3.470E-04     8.270E-02     1.739E-01     4.421E-02     1.340E-02     2.414E-01     6.526E-03     6.043E-04     1.455E-01     1.507E-02     6.708E-02     2.528E-01     4.230E-07     3.980E-02     2.189E-01     3.235E-02     9.640E-01     2.125E+00     8.663E-01     3.616E-01     7.370E-06     2.723E-02     1.057E-02     7.795E-03     4.862E-01     1.904E-01     4.245E+01     1.465E-02     4.676E+00     3.449E-01     5.978E+00     2.250E-02     8.810E-04     1.412E-05     2.936E-02     6.002E-06     1.970E-07     2.626E-01     4.038E-01     4.983E+00     2.200E-08     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     9.417E-01     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00
oil           6.275E-05     1.367E-03     8.479E-04     9.818E-03     1.249E-04     3.115E-05     1.138E-02     1.865E-04     3.215E-03     8.832E-04     9.955E-04     1.770E-03     1.040E-05     2.345E-05     7.341E-03     3.980E+00     1.459E+00     9.228E-02     1.040E-02     1.863E-03     1.500E-03     2.062E-02     2.610E-04     1.152E-04     1.212E-02     1.477E-02     1.711E-03     2.400E-07     1.110E-07     6.386E-04     1.354E-03     4.592E+03     7.357E-02     3.316E-02     5.303E-02     7.341E-02     1.074E-06     1.744E-06     9.093E-04     3.960E-07     2.712E-02     3.052E-03     7.958E-01     2.350E+00     1.700E-01     1.731E-02     1.757E-01     5.906E-01     2.870E-03     3.676E-03     2.315E-02     1.690E-07     1.500E-08     5.964E-03     1.649E-04     2.885E-03     2.489E-10     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     9.708E+02
gas           1.409E-03     1.783E-01     2.225E-01     2.062E-01     7.149E-02     4.509E-03     8.683E-02     2.845E-02     5.385E-01     2.471E+00     5.814E-01     2.268E-01     9.037E-03     4.218E-03     1.990E-03     7.490E+01     3.112E+02     1.348E+01     1.270E+01     2.875E+00     2.133E-01     1.567E+01     3.628E-01     3.549E-02     5.144E+00     1.350E+00     9.456E-02     4.986E-05     5.091E-05     8.663E-01     3.179E+01     3.942E+02     4.215E+02     1.223E+02     1.014E+02     3.846E+01     6.731E-04     2.208E-04     8.861E-02     5.881E-03     2.475E+01     1.774E+01     4.637E+03     5.032E+02     1.609E+02     9.589E+00     7.555E+02     3.940E+02     6.432E-01     6.458E-01     1.192E+02     3.498E-04     2.770E-05     3.824E+01     1.479E+00     4.610E+01     1.300E-08     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.039E+03     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.093E+04
omn           3.723E-03     7.157E-02     7.167E-02     1.147E+00     1.017E-02     4.808E-03     1.287E+00     2.877E-02     2.110E-01     1.922E-01     6.010E-02     5.167E-01     9.412E-03     3.343E-02     1.065E-01     9.879E-01     3.581E+00     3.050E+01     6.737E-01     1.245E-01     4.484E-02     1.156E+00     1.217E-02     1.306E-02     6.353E-01     1.071E+00     5.709E-02     4.113E-03     7.269E-02     1.026E-01     1.321E-03     1.420E-02     1.729E-03     1.372E+02     2.610E+01     2.016E+02     3.959E-02     1.362E+01     1.776E-01     7.451E-01     9.945E-01     2.125E-12     6.990E-02     4.951E-01     1.577E-01     1.350E+02     3.347E+00     1.426E+00     1.143E+00     3.128E-01     6.969E-02     1.757E-03     1.326E-04     3.691E+00     1.311E-01     4.898E+00     4.902E-05     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.887E+01     0.000E+00     1.375E+01     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     2.011E+01
cmt           1.046E-03     1.841E-02     1.325E-02     7.001E-02     3.405E-03     1.866E-04     3.152E-02     1.332E-03     6.068E-02     8.550E-02     3.537E-02     1.221E-02     3.924E-04     4.717E-03     1.338E-02     1.435E-01     1.289E+00     7.038E-03     1.394E+01     1.445E-02     2.978E-04     8.799E-03     6.839E-05     5.198E-05     9.576E-03     2.895E-03     4.999E-02     3.098E-01     2.597E+00     2.306E-03     3.899E-03     4.373E-02     2.159E-05     6.027E-02     5.481E-03     3.991E-02     2.186E-04     5.724E-03     8.072E-03     1.828E-03     6.779E-03     8.773E-12     7.138E-03     6.857E-02     1.799E-04     9.495E-02     1.966E+00     2.768E-01     2.166E-01     2.637E-02     7.101E-03     1.022E-01     5.921E-01     2.638E-01     1.332E+00     7.422E+00     2.580E-07     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     2.506E+02     5.303E+00     1.947E+01     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     3.155E+00
omt           2.098E-05     3.681E-04     1.904E-04     1.616E-03     6.790E-05     3.312E-06     2.963E-02     9.666E-05     1.499E-03     3.421E-03     9.857E-04     3.323E-03     1.925E-04     2.435E-03     3.789E-03     7.556E-02     7.252E-01     2.539E-03     2.120E-03     9.753E+00     1.517E-04     3.024E-03     4.929E-05     4.073E-05     2.186E+00     2.083E-03     1.900E-02     9.744E-02     1.494E-02     1.065E-03     1.810E-03     1.596E-02     7.755E-06     2.844E-02     4.330E-03     1.791E-02     7.387E-05     1.318E-02     2.531E-03     7.582E-04     2.736E-03     5.438E-12     4.120E-03     3.762E-02     7.490E-05     2.683E-02     7.353E-01     5.313E-02     1.364E-01     5.590E-03     3.182E-03     5.857E-02     1.329E-01     1.154E-01     4.899E-01     3.027E+00     2.468E-06     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.252E+02     1.620E+00     9.112E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00
