table sam0(s0,ss0) Billions of Current USD
            	pdr           wht           gro           v_f           osd           c_b           pfb           ocr           ctl           oap           rmk           wol           frs           fsh           coa           oil           gas           omn           cmt           omt           vol           mil           pcr           sgr           ofd           b_t           tex           wap           lea           lum           ppp           p_c           crp           nmm           i_s           nfm           fmp           mvh           otn           ele           ome           omf           ely           gdt           wtr           cns           trd           otp           wtp           atp           cmn           ofi           isr           obs           ros           osg           dwe           UnSkil        Skill         Captl         LandR         natrs         hhsld         gov           inv           depry         trdmg         indtx         prdtx         imptx         exptx         dirtx         row
rmk           7.498E-03     1.833E-02     2.783E-02     3.861E-01     1.376E-02     5.350E-03     6.447E-02     2.910E-02     1.089E-01     1.902E-01     5.931E+01     4.271E-02     1.537E-03     1.202E-03     8.962E-03     1.655E-02     4.144E-04     1.650E-04     6.721E-03     2.646E-03     1.158E-03     5.319E+01     1.392E-04     6.814E-04     1.116E-02     9.678E-03     1.022E-01     1.184E-03     7.638E-01     1.505E-14     1.212E-06     2.661E-03     1.010E-19     5.916E-03     5.487E-03     1.285E-01     4.139E-04     1.909E-04     4.950E-04     8.168E-05     8.116E-03     1.000E-08     1.598E-03     3.692E-06     2.500E-05     9.380E-05     8.978E+00     1.569E-02     2.405E-02     2.954E-02     3.901E-05     1.201E-02     4.499E-03     7.879E-03     5.756E-03     1.965E+00     4.800E-08     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00
wol           2.743E-05     5.136E-04     5.428E-04     1.223E-02     1.600E-04     7.005E-05     2.102E-03     8.976E-04     3.823E-03     6.237E-03     1.341E-03     7.090E+01     5.281E-05     4.097E-05     2.299E-04     2.588E-04     1.944E-05     5.665E-06     3.410E-04     1.346E-04     5.941E-05     9.451E-04     7.125E-06     3.485E-05     5.663E-04     4.940E-04     3.757E+01     6.370E-05     2.617E-02     5.473E-14     4.200E-08     9.137E-05     3.503E-21     2.035E-04     1.953E-04     4.211E-03     1.422E-05     1.445E-06     7.627E-06     5.901E-06     2.788E-04     4.952E-10     5.483E-05     1.270E-07     8.590E-07     3.215E-06     3.081E-01     1.919E-04     8.964E-04     8.807E-04     1.340E-06     4.520E-04     7.862E-05     2.708E-04     1.978E-04     6.747E-02     3.297E-10     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     3.021E+01     7.145E-01     7.202E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     7.655E+00
frs           2.171E-05     4.586E-04     4.571E-04     6.652E-03     8.535E-05     4.463E-05     1.852E-03     3.077E-04     1.873E-03     2.224E-03     5.868E-04     1.812E-03     2.056E-02     1.070E-07     6.236E-02     1.474E-02     2.322E-04     1.178E-03     1.288E-03     2.466E-04     1.361E-04     2.571E-03     1.059E-05     7.495E-05     8.497E-04     1.434E-03     3.069E-05     2.950E-04     8.658E-05     8.500E-07     5.300E-08     2.640E-07     1.682E-21     1.831E-02     1.916E-06     2.114E-04     1.611E-06     4.720E-07     1.110E-07     6.690E-07     2.030E-02     1.200E-08     5.519E-02     7.179E-11     5.637E-04     2.046E-01     5.841E-03     2.058E-02     1.690E-03     8.243E-03     4.570E-07     9.300E-08     3.230E-07     1.054E-03     3.240E-03     2.755E-02     1.238E-06     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     3.297E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00
fsh           3.100E-08     4.850E-07     3.772E-06     1.384E-06     9.160E-07     1.694E-06     2.342E-04     2.728E-06     7.043E-05     2.379E-04     7.539E-06     9.850E-07     3.000E-08     1.603E-02     2.000E-09     1.000E-09     1.222E-11     3.000E-09     6.802E-04     1.332E-04     3.526E-06     3.525E-05     6.800E-08     8.270E-06     1.356E-02     9.531E-06     3.477E-06     1.762E-06     1.860E-06     2.983E-13     1.063E-10     3.000E-09     7.826E-24     7.310E-07     9.100E-08     1.870E-07     2.600E-08     8.116E-10     7.700E-08     1.889E-10     2.478E-06     1.770E-07     2.250E-07     6.328E-11     1.200E-08     1.500E-08     2.094E-03     1.848E-06     3.026E-06     3.170E-07     1.100E-08     1.201E-06     1.680E-07     3.392E-05     1.336E-03     5.143E-03     6.920E-07     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00
coa           2.000E-08     2.920E-07     1.545E-06     1.489E-05     1.600E-06     5.700E-08     6.900E-07     1.591E-06     1.766E-06     5.807E-06     8.350E-07     6.660E-07     2.050E-07     2.700E-08     3.430E-04     9.350E-07     3.440E-07     4.369E-01     6.874E-01     1.364E-01     7.713E-01     9.475E-01     2.493E-03     7.274E-02     6.230E-01     5.540E-01     1.260E+00     3.906E-01     1.286E-01     1.087E-01     1.290E+00     8.730E-04     2.170E+00     1.608E+01     4.068E+00     8.170E-01     5.352E-06     1.467E-01     5.057E-02     1.340E-07     4.011E+00     2.171E+00     1.518E+01     8.279E-04     3.143E+00     2.590E+00     3.780E-01     1.257E-04     2.170E-05     2.785E-06     2.515E-03     2.800E-08     9.000E-09     1.080E-07     6.063E-04     1.505E-01     3.000E-09     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00
oil           7.587E-06     9.879E-05     7.683E-05     1.466E-03     1.066E-05     1.218E-05     5.727E-04     4.815E-05     3.555E-04     1.239E-04     6.795E-05     2.161E-04     1.392E-06     6.148E-06     1.556E-05     3.873E-04     5.683E-04     3.963E-05     8.568E-04     1.136E-04     1.737E-04     1.840E-03     1.054E-05     1.246E-04     8.537E-04     2.981E-03     1.274E-06     1.540E-07     1.080E-07     6.876E-06     4.000E-09     5.861E+01     5.440E-07     4.269E-03     1.030E-03     4.251E-03     1.100E-08     3.500E-08     4.300E-08     6.957E-10     4.422E-03     7.741E-04     1.191E-02     1.422E-02     3.002E-02     1.164E-04     2.989E-02     2.293E-03     2.732E-05     8.158E-05     1.151E-03     1.000E-09     3.691E-10     5.000E-09     6.244E-06     7.658E-04     3.012E-11     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00
gas           4.100E-08     6.614E-05     1.442E-04     1.374E-03     1.889E-05     1.307E-06     1.040E-04     6.753E-05     1.891E-04     2.108E-04     4.720E-05     1.370E-03     9.560E-07     7.804E-06     4.341E-06     3.917E-04     4.638E-04     1.224E-05     1.203E-03     3.612E-04     8.472E-05     4.956E-03     1.326E-05     3.466E-05     1.415E-03     8.955E-04     5.600E-08     2.100E-08     4.200E-08     6.327E-06     8.600E-08     1.771E-02     1.010E-05     1.239E-02     2.304E-03     1.344E-02     5.820E-10     6.000E-09     1.100E-08     2.772E-10     3.223E-03     3.675E-04     1.189E+02     2.837E-02     1.255E+01     1.862E-04     5.413E+01     1.664E+00     1.383E-03     3.962E-03     1.280E+00     1.530E-07     1.500E-08     2.316E-06     5.401E-02     1.214E+00     2.435E-10     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00
omn           6.746E-04     1.017E-02     1.165E-02     1.577E-01     2.017E-03     1.144E-03     4.958E-02     6.203E-03     3.576E-02     3.826E-02     9.228E-03     6.120E-02     3.056E-04     4.000E-09     1.075E-02     2.004E-02     1.673E-04     3.855E-01     9.934E-02     1.984E-02     1.416E-02     2.273E-01     9.806E-04     7.678E-03     8.129E-02     1.491E-01     2.725E-03     3.375E-03     3.070E-03     3.000E-09     1.900E-06     2.646E-05     8.458E-19     2.276E+01     1.010E-01     4.513E+00     6.271E-03     3.166E-01     2.303E-02     3.012E-02     5.066E-01     1.521E-06     1.952E-01     4.146E-06     1.186E-01     1.364E+01     3.693E-01     3.415E-02     9.673E-03     2.575E-02     2.857E-03     7.432E-05     1.091E-05     8.199E-02     4.175E-03     4.420E-01     1.077E-05     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     3.272E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.021E+01
cmt           1.387E-06     2.296E-05     2.801E-04     6.529E-04     7.814E-06     3.281E-06     9.699E-05     4.606E-05     9.643E-04     2.831E-03     5.238E-04     1.850E-04     1.220E-05     5.796E-04     7.289E-03     1.159E-02     1.736E-04     3.686E-05     2.694E+00     2.523E-03     1.170E-04     2.104E-03     8.591E-06     4.471E-05     1.627E-03     6.051E-04     7.022E-04     1.381E-01     2.781E-03     3.000E-09     5.151E-06     1.742E-03     1.231E-20     1.134E-02     3.398E-04     1.287E-02     3.214E-05     7.992E-05     8.952E-04     1.639E-05     3.503E-03     1.683E-06     3.141E-02     2.230E-06     1.371E-04     1.009E-02     3.814E-01     3.710E-03     1.817E-03     1.416E-03     3.242E-04     2.714E-03     4.072E-02     9.693E-03     3.773E-02     9.611E-01     3.400E-08     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     4.174E+01     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.341E+00
omt           1.730E-07     4.122E-06     2.738E-06     1.617E-03     9.870E-07     6.180E-07     3.357E-02     5.094E-04     2.537E-03     1.279E-02     2.145E-03     1.260E-02     8.793E-06     4.379E-04     2.630E-03     9.640E-03     1.403E-04     2.671E-05     3.935E-04     2.184E+00     6.853E-05     8.990E-04     6.586E-06     3.654E-05     4.322E-01     4.587E-04     5.301E-04     7.283E-02     1.004E-03     2.000E-09     3.435E-06     1.035E-03     8.680E-21     7.456E-03     3.137E-04     7.232E-03     1.816E-05     4.896E-04     3.310E-04     1.479E-05     2.144E-03     1.249E-06     2.312E-02     1.664E-06     8.520E-05     5.243E-03     2.278E-01     1.385E-03     1.359E-03     5.308E-04     2.067E-04     4.056E-03     1.581E-02     6.243E-03     2.809E-02     6.053E-01     9.120E-07     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     4.185E+01     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00
