table sam0(s0,ss0) Billions of Current USD
              pdr           wht           gro           v_f           osd           c_b           pfb           ocr           ctl           oap           rmk           wol           frs           fsh           coa           oil           gas           omn           cmt           omt           vol           mil           pcr           sgr           ofd           b_t           tex           wap           lea           lum           ppp           p_c           crp           nmm           i_s           nfm           fmp           mvh           otn           ele           ome           omf           ely           gdt           wtr           cns           trd           otp           wtp           atp           cmn           ofi           isr           obs           ros           osg           dwe           UnSkil        Skill         Captl         LandR         natrs         hhsld         gov           inv           depry         trdmg         indtx         prdtx         imptx         exptx         dirtx         row
rmk           7.837E-03     4.862E-02     2.993E-02     1.516E-01     1.605E-02     3.628E-02     3.620E-02     1.079E-02     8.712E-03     2.186E-02     8.266E+01     7.391E-03     1.259E-02     1.110E-01     2.789E-11     1.293E-02     8.567E-04     2.417E-05     8.457E-03     1.007E-03     2.080E-03     2.474E+02     2.854E-04     2.139E-01     6.643E-02     4.191E-02     7.289E-03     2.000E-08     1.208E-01     1.600E-08     1.590E-07     4.159E-06     1.173E-05     1.150E-07     4.000E-09     1.413E-20     2.700E-08     5.628E-10     5.100E-08     3.000E-09     5.000E-08     3.340E-07     4.813E-06     4.440E-07     6.500E-08     1.847E-01     1.673E-01     1.025E-06     1.336E-05     2.785E-06     2.400E-08     2.500E-08     1.300E-08     4.438E-02     1.036E-01     4.008E-01     7.490E-07     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     3.319E+02
wol           3.922E-05     3.951E-03     1.200E-03     1.036E-02     5.474E-04     2.794E-03     2.545E-03     6.798E-04     7.263E-04     1.714E-03     2.760E-03     3.313E+01     1.064E-03     9.350E-03     2.498E-12     1.088E-03     7.261E-05     2.043E-06     2.852E-03     3.395E-04     7.189E-04     1.412E-02     9.636E-05     7.247E-02     2.206E-02     1.407E-02     5.849E+00     3.003E-06     1.022E-02     2.000E-08     2.000E-09     1.692E-06     2.441E-06     1.326E-06     1.000E-09     3.490E-21     1.700E-08     4.633E-11     1.100E-08     4.030E-07     1.300E-08     1.250E-06     2.220E-07     2.150E-07     1.600E-08     1.563E-02     1.425E-02     1.680E-07     1.437E-05     3.137E-06     9.000E-09     2.000E-08     3.000E-09     3.756E-03     8.761E-03     3.403E-02     8.900E-08     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     3.058E+01     0.000E+00     4.463E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     7.428E+01
frs           4.244E-04     2.537E-02     1.420E-02     8.374E-02     3.851E-03     1.404E-05     3.933E-02     3.108E-03     2.956E-03     3.365E-03     9.579E-03     4.921E-03     8.002E-01     1.804E-03     6.000E-09     8.491E-04     4.892E-05     4.370E-07     7.021E-02     2.936E-03     6.371E-03     2.232E-01     3.018E-04     4.871E-04     3.049E-01     3.430E-01     8.448E-03     1.747E-03     1.924E-03     5.826E-04     1.099E-04     1.200E-04     1.980E-03     1.043E-04     3.671E-06     4.951E-17     3.825E-06     4.300E-08     3.172E-06     1.301E-05     4.220E-07     5.498E-05     9.270E-06     5.690E-07     2.558E-06     7.891E-03     3.049E-03     6.763E-05     1.127E-05     2.706E-05     2.961E-06     4.540E-07     9.670E-07     8.533E-04     1.697E-03     6.590E-03     3.351E-06     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     2.159E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     4.139E+00
fsh           2.443E-05     2.302E-03     1.195E-03     5.492E-03     3.167E-04     1.431E-06     2.986E-03     2.316E-04     2.655E-04     4.004E-04     8.191E-04     2.006E-04     1.511E-05     4.224E+00     3.784E-12     8.670E-07     1.200E-08     1.194E-10     6.344E-01     2.654E-02     4.789E-02     1.849E+00     2.302E-03     2.014E-03     2.046E+00     2.497E+00     2.300E-07     4.000E-09     5.600E-08     5.700E-08     1.030E-07     2.830E-07     1.870E-06     7.540E-07     1.600E-07     1.610E-20     3.600E-08     4.718E-11     8.800E-08     4.014E-10     1.400E-08     2.286E-05     1.300E-07     1.380E-07     6.100E-08     2.757E-04     2.110E-02     3.877E-06     1.012E-05     2.448E-06     6.700E-08     2.517E-06     2.650E-07     5.483E-05     4.763E-04     3.862E-04     1.371E-06     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.874E+01     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     3.011E+01
coa           4.778E-10     4.800E-08     2.000E-08     5.700E-07     3.880E-07     1.000E-09     1.600E-08     1.000E-08     3.000E-09     1.800E-08     2.500E-08     1.400E-08     4.000E-09     4.000E-09     2.447E-04     9.581E-05     1.300E-08     5.680E-07     5.160E-07     1.450E-07     1.449E-06     1.191E-05     7.000E-09     2.728E-06     1.815E-05     8.736E-06     1.205E-06     2.900E-08     3.140E-07     2.200E-08     1.693E-06     1.100E-03     1.526E-05     5.003E-05     1.546E-05     5.180E-07     3.190E-07     3.581E-10     4.770E-07     6.200E-08     4.200E-08     5.000E-09     3.154E-03     7.873E-05     1.275E-05     3.265E-06     2.370E-07     1.137E-05     2.251E-05     2.700E-08     2.000E-09     1.300E-08     5.000E-09     1.750E-07     4.000E-08     1.214E-06     9.300E-08     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     4.856E-03
oil           1.300E-08     6.361E-06     1.340E-07     2.661E-05     2.770E-07     2.100E-08     1.484E-05     2.280E-07     1.880E-07     1.430E-07     5.450E-07     1.047E-06     3.000E-09     2.920E-07     9.940E-07     2.011E+01     4.703E-01     3.090E-07     1.060E-07     2.100E-08     4.750E-07     3.986E-06     4.000E-09     1.320E-07     1.890E-06     4.649E-06     2.179E-06     7.800E-08     1.470E-07     4.000E-09     1.200E-08     2.685E+03     2.001E-05     5.070E-07     5.000E-08     9.000E-08     1.000E-07     7.000E-09     2.485E-06     5.400E-08     1.600E-08     2.500E-08     6.132E-05     3.125E+00     9.440E-07     1.700E-07     1.640E-07     6.774E-05     3.650E-07     9.560E-07     1.800E-08     2.000E-09     3.852E-10     3.100E-08     4.000E-09     2.400E-08     1.682E-10     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     3.742E+04
gas           1.073E-03     1.028E-01     5.305E-02     2.434E-01     1.386E-02     2.516E-05     1.209E-01     1.009E-02     1.111E-02     1.479E-02     3.579E-02     8.689E-03     6.671E-04     5.405E-02     3.840E-07     6.886E+01     3.841E+00     3.793E-04     4.240E-05     1.144E-05     2.348E-05     1.060E-03     1.113E-06     1.073E-05     2.885E-04     1.385E-04     1.315E-05     1.833E-06     7.439E-06     1.467E-05     4.492E-05     2.419E+02     2.817E+01     3.521E-02     3.197E-04     1.244E-04     1.244E-05     8.700E-08     2.337E-05     1.625E-04     2.603E-06     1.660E-04     4.231E+02     3.991E+01     6.843E-01     1.332E-05     1.923E-05     2.099E-03     2.276E-06     4.948E-06     6.252E-06     9.400E-08     1.400E-08     1.256E-03     8.800E-07     1.159E-05     1.200E-08     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.105E+03
omn           2.284E-04     1.182E-02     6.858E-03     4.141E-02     1.890E-03     6.821E-06     2.009E-02     1.428E-03     1.313E-03     1.298E-03     4.235E-03     2.854E-03     9.911E-05     1.370E-06     3.140E-07     7.660E-01     5.031E-02     2.548E-03     2.226E-02     9.323E-04     2.262E-03     7.502E-02     1.044E-04     2.122E-04     1.150E-01     1.240E-01     3.911E-04     8.019E-05     8.930E-05     3.561E-05     1.834E-02     1.147E-02     1.143E-02     5.616E+00     1.086E-02     3.962E-14     1.999E-04     1.317E-05     2.024E-03     1.215E-03     1.544E-03     1.749E-02     8.322E-02     8.375E-02     3.865E-03     3.156E+01     1.765E-01     1.647E-03     1.104E-03     5.212E-04     5.852E-06     6.960E-07     1.070E-07     7.649E-04     3.324E-02     2.938E-03     2.844E-05     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     7.066E-01     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     4.743E+01
cmt           4.124E-05     3.319E-03     4.131E-03     1.035E-02     5.731E-04     2.949E-03     2.246E-03     6.968E-04     1.013E-03     4.767E-03     4.765E-03     6.326E-04     3.171E-04     2.865E-02     8.481E-10     4.135E-05     1.915E-06     8.806E-10     1.567E+01     2.890E-03     1.203E-03     2.368E-02     1.300E-04     9.743E-02     1.134E+01     1.899E-02     6.597E-06     8.441E-06     6.674E-04     6.700E-08     1.740E-06     1.270E-03     6.479E-04     2.545E-04     1.600E-08     8.008E-20     2.060E-07     2.000E-09     1.810E-06     1.900E-08     1.722E-06     8.276E-06     1.589E-04     1.582E-04     7.538E-06     2.345E-03     1.839E+00     1.479E-02     9.979E-03     2.178E-03     2.658E-06     1.051E-06     2.181E-05     1.135E-01     1.755E-01     1.117E-01     7.280E-07     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     4.492E+01     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     7.697E+01
omt           2.520E-07     2.175E-05     6.383E-06     8.115E-04     3.273E-06     1.330E-05     1.819E-02     2.135E-04     1.296E-04     1.707E-03     1.159E-03     1.271E-03     1.342E-04     1.099E-02     4.009E-10     2.237E-05     9.270E-07     3.656E-10     3.176E-03     1.810E+00     8.403E-04     1.535E-02     1.061E-04     7.934E-02     2.417E+00     1.540E-02     2.734E-06     9.920E-07     7.920E-05     2.000E-08     3.630E-07     1.199E-05     1.998E-04     4.217E-06     1.200E-08     3.149E-20     1.730E-07     2.000E-09     5.700E-07     1.700E-08     1.120E-07     1.314E-05     6.081E-05     6.140E-05     3.029E-06     8.944E-04     7.050E-01     3.583E-03     7.859E-03     6.069E-04     1.252E-06     1.455E-06     5.843E-06     4.355E-02     6.872E-02     4.289E-02     3.880E-07     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     9.298E+01     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     9.822E+01
