table sam0(s0,ss0) Billions of Current USD	
              pdr           wht           gro           v_f           osd           c_b           pfb           ocr           ctl           oap           rmk           wol           frs           fsh           coa           oil           gas           omn           cmt           omt           vol           mil           pcr           sgr           ofd           b_t           tex           wap           lea           lum           ppp           p_c           crp           nmm           i_s           nfm           fmp           mvh           otn           ele           ome           omf           ely           gdt           wtr           cns           trd           otp           wtp           atp           cmn           ofi           isr           obs           ros           osg           dwe           UnSkil        Skill         Captl         LandR         natrs         hhsld         gov           inv           depry         trdmg         indtx         prdtx         imptx         exptx         dirtx         row
rmk           3.630E+01     7.346E+01     4.876E+00     6.630E+01     3.354E-04     6.293E+01     5.705E+01     7.742E+01     5.955E-02     2.104E-02     2.880E+01     5.056E-03     1.228E-04     4.282E+00     2.700E-08     4.500E-08     6.320E-07     1.368E-06     5.317E-03     1.353E-03     1.479E+02     2.745E+02     8.670E-05     5.485E-04     4.014E-03     3.324E-03     8.251E-02     2.234E+00     1.442E+02     1.269E-06     2.890E-06     2.725E-06     4.832E+00     5.335E-06     2.181E-03     1.421E-02     6.100E-07     3.600E-08     1.750E-06     2.130E-06     7.100E-07     8.166E+00     8.250E-06     1.550E-06     4.270E-07     9.165E-06     1.061E+02     6.437E-06     1.402E-05     1.092E-05     1.270E-07     1.967E-05     9.616E-06     2.682E-04     5.159E-05     1.081E+00     4.600E-07     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.584E+04     8.314E-01     1.131E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.695E+04
wol           1.181E-01     2.417E-01     1.391E-02     2.169E-01     2.865E-06     2.054E-01     1.873E-01     2.546E-01     5.526E-03     1.615E-03     1.446E-02     1.275E+01     3.756E-05     1.770E-01     1.100E-08     1.000E-09     1.460E-07     1.000E-08     1.536E-03     5.508E-04     6.117E+00     8.874E-03     4.312E-05     5.690E-05     4.101E-04     2.713E-04     7.721E+01     9.436E-02     5.961E+00     5.107E-06     1.200E-08     9.870E-07     1.998E-01     2.061E-05     9.863E-05     5.305E-04     8.000E-08     1.100E-08     9.700E-08     5.080E-06     2.220E-07     3.375E-01     3.500E-07     7.120E-07     1.010E-07     2.500E-08     4.390E+00     3.630E-07     1.458E-05     1.009E-05     4.700E-08     1.488E-06     4.360E-07     2.878E-05     3.065E-05     4.545E-02     5.000E-09     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     2.227E+02     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     3.329E+02
frs           1.202E-03     9.371E-04     3.658E-05     1.587E-02     1.399E-04     2.366E-03     2.278E-03     8.870E-03     4.952E-03     3.297E-03     1.991E-02     5.245E-04     8.779E-01     7.618E-04     9.724E+00     3.432E-05     1.445E-05     4.255E-02     1.040E+00     1.686E-01     1.258E-03     5.274E+00     2.775E-03     8.256E-01     1.200E-01     7.063E+00     4.524E+00     4.345E-01     1.396E+01     7.184E+01     2.280E-01     1.169E-05     4.707E+00     7.873E+01     5.097E-02     2.855E-01     6.087E-02     1.092E-01     4.327E-02     5.195E-01     9.260E-02     1.420E+00     1.284E-05     1.759E-06     1.500E-05     1.146E-02     2.536E+01     7.034E+00     1.100E-05     3.012E-05     2.120E-05     4.153E-05     3.367E-05     1.800E+01     3.515E+01     1.519E+00     1.658E-05     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     5.629E+01     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     3.555E+02
fsh           1.680E-05     2.716E-05     9.838E-06     1.637E-05     1.895E-05     1.019E-03     3.999E-03     3.115E-04     1.257E-03     1.905E-03     1.018E-03     1.581E-06     1.165E-05     2.755E+01     3.800E-08     7.000E-08     9.000E-09     3.020E-07     1.824E+01     2.893E+00     8.223E-04     8.649E+01     2.843E-04     6.905E-03     1.844E+00     3.178E-04     3.716E-04     1.492E-05     2.276E-05     1.556E-05     2.182E-06     2.570E-07     1.090E-05     2.593E-05     1.901E-06     4.080E-07     1.773E-06     7.500E-07     4.654E-06     5.851E-06     1.808E-06     3.617E-02     2.590E-07     6.200E-07     4.180E-07     4.230E-07     1.198E-01     4.818E-05     2.774E-05     1.040E-05     3.660E-07     1.422E-04     6.921E-06     4.072E-04     3.272E-02     5.064E-03     5.794E-06     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     7.109E+02     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     9.132E+02
coa           3.000E-09     2.400E-08     2.000E-09     1.780E-07     8.500E-08     3.600E-08     1.100E-08     3.500E-08     1.800E-08     7.200E-08     1.030E-07     1.000E-09     1.120E-07     3.500E-08     2.412E-05     3.360E-07     1.080E-07     1.856E-06     7.480E-07     2.100E-07     9.672E-06     7.566E-06     1.055E-03     2.391E-02     1.513E-06     5.833E-06     3.005E-05     2.519E-06     3.950E-07     9.454E-04     4.005E-06     3.351E+01     1.213E-05     6.014E+02     2.309E-03     7.327E-05     5.014E-04     4.740E-07     1.180E-07     6.418E-03     6.674E-03     1.930E-03     1.021E+01     4.902E-05     4.134E-06     8.130E-07     1.107E-03     2.062E-05     2.560E-07     2.370E-07     2.730E-07     3.860E-07     1.430E-07     5.137E-02     3.834E-02     3.080E-03     2.100E-08     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     6.453E+02
oil           7.750E-07     1.398E-05     6.500E-08     8.245E-05     2.510E-07     7.171E-06     9.674E-05     6.296E-06     5.678E-06     1.291E-06     1.152E-05     2.582E-06     2.770E-07     1.734E-06     1.155E-06     1.041E-04     2.894E-05     1.005E-05     4.380E-07     9.800E-08     2.753E-05     1.191E-05     9.270E-07     1.810E-05     1.232E-06     1.373E-05     4.797E-04     1.522E-05     3.100E-06     6.660E-07     2.440E-07     6.027E+03     4.593E-01     6.938E-06     6.960E-07     2.940E-06     3.070E-07     4.138E-06     7.889E-06     7.980E-07     2.110E-07     3.735E-06     2.599E-01     3.356E-01     6.527E-03     4.580E-07     5.459E-04     2.753E-04     5.150E-07     2.689E-06     1.860E-07     2.600E-07     1.120E-07     1.560E-07     6.800E-08     2.110E-07     3.590E-10     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     6.028E+03
gas           1.300E-08     2.277E-06     1.800E-08     1.952E-06     1.330E-07     9.190E-07     8.800E-07     1.148E-06     1.109E-06     4.025E-06     7.287E-06     3.810E-07     1.560E-07     6.500E-08     3.130E-07     1.515E+00     1.101E-02     7.010E+00     6.913E-05     1.441E-05     1.119E-03     4.788E-04     1.267E-04     9.298E-04     2.519E-05     8.906E-05     1.871E-04     2.325E-05     8.030E-07     1.784E-04     3.225E-04     8.020E+01     1.941E+02     2.467E-03     7.761E-04     1.546E-03     2.292E-05     1.680E-05     9.326E-06     3.908E-03     2.994E-05     3.425E-03     1.445E+02     1.028E+02     7.835E-01     2.727E-01     6.143E-02     1.197E-01     1.071E-04     7.987E-04     6.708E-05     2.276E-05     5.561E-06     4.009E-05     2.403E-05     1.294E-04     1.700E-08     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     2.801E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     5.343E+02
omn           5.388E-04     7.969E-03     7.764E-04     2.884E-03     6.047E-04     2.769E-03     2.943E-03     3.129E-03     1.781E-03     1.749E-03     1.380E-02     1.944E-04     7.553E-05     1.450E-01     2.717E-03     5.297E-03     1.992E-03     1.714E-02     2.425E-03     4.163E-04     6.947E-04     1.305E-02     3.106E-05     4.530E-02     6.137E-04     3.407E-01     2.490E-03     2.342E-05     3.281E-01     2.117E-02     1.060E-02     4.278E-03     2.929E+01     6.244E+01     9.435E+00     9.609E+01     9.558E+00     2.945E-04     2.787E-05     1.494E-04     6.209E-02     3.308E-03     2.005E-04     7.617E-04     3.158E-04     2.552E+02     6.422E-02     3.042E-04     2.515E-05     3.185E+01     3.313E-05     3.073E-05     6.695E-06     1.623E-04     3.564E-04     1.282E-03     1.155E-04     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     7.107E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     7.138E+02
cmt           1.238E-02     1.644E-01     1.091E-02     3.213E-02     1.097E-03     6.389E-06     1.761E-05     4.598E-03     1.564E+00     1.759E+00     5.688E+00     9.584E-02     5.458E-05     7.616E+00     2.785E-02     1.903E-01     6.013E-02     9.903E-02     6.570E+01     5.281E-02     8.284E+00     1.675E-01     2.704E-01     8.295E-02     1.424E+00     7.941E-01     2.246E+01     1.312E+00     7.679E-01     7.649E-01     8.671E-01     8.064E-04     1.508E+00     9.778E-01     9.166E-03     6.964E-02     3.392E-02     1.953E-02     2.493E-01     4.733E-01     5.664E-02     5.340E-01     4.606E-01     5.314E-05     2.923E-01     6.733E+00     4.424E+01     2.632E-01     3.387E-05     1.116E+00     2.085E-05     8.031E-05     5.968E-04     2.604E+01     3.617E+01     4.910E+00     7.895E-03     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     4.821E+02     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     8.225E+02
omt           6.610E-03     8.811E-02     5.098E-03     1.774E-02     5.879E-04     8.691E-06     4.843E-01     4.267E-03     1.232E-02     1.887E-02     4.952E-02     1.828E-03     1.666E-03     4.082E+00     1.494E-02     1.025E-01     3.183E-02     5.309E-02     9.073E-03     2.519E+01     2.069E+00     4.686E-02     1.646E-01     9.244E-03     4.082E-01     2.413E-02     1.211E+01     6.963E-01     3.805E-01     4.097E-01     4.644E-01     3.160E-05     8.080E-01     5.215E-01     6.227E-03     2.844E-02     1.817E-02     8.987E-02     8.417E-02     2.535E-01     3.024E-02     2.861E-01     1.419E-01     3.116E-05     2.275E-01     3.609E+00     2.367E+01     1.409E-01     3.108E-05     5.963E-01     1.249E-05     8.778E-05     1.628E-04     1.395E+01     1.940E+01     2.630E+00     4.229E-03     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.457E+02     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     2.626E+02
