table sam0(s0,ss0) Billions of Current USD	
              pdr           wht           gro           v_f           osd           c_b           pfb           ocr           ctl           oap           rmk           wol           frs           fsh           coa           oil           gas           omn           cmt           omt           vol           mil           pcr           sgr           ofd           b_t           tex           wap           lea           lum           ppp           p_c           crp           nmm           i_s           nfm           fmp           mvh           otn           ele           ome           omf           ely           gdt           wtr           cns           trd           otp           wtp           atp           cmn           ofi           isr           obs           ros           osg           dwe           UnSkil        Skill         Captl         LandR         natrs         hhsld         gov           inv           depry         trdmg         indtx         prdtx         imptx         exptx         dirtx         row
rmk           9.196E-02     6.178E-01     3.311E-01     8.620E-01     3.919E-02     6.114E-02     8.510E-02     8.842E-02     5.995E-01     5.532E-01     1.210E+03     6.133E-02     1.389E+00     6.682E-01     1.834E-02     2.661E-03     2.737E-02     5.132E-02     2.353E-02     5.446E-03     3.750E-04     4.686E+02     4.380E-04     1.228E-04     2.348E-02     5.995E-03     4.932E-02     3.060E-02     4.344E-02     2.934E-02     7.379E-05     3.969E-03     4.964E-01     9.050E-02     2.274E-02     4.110E-02     3.630E-07     1.757E-10     3.695E-02     1.570E-07     6.111E-03     5.140E+00     7.000E-03     5.636E-03     2.400E-07     7.233E+00     1.245E+01     2.714E+01     3.206E+01     6.884E+00     5.477E+00     4.730E-07     4.800E-08     9.395E+00     4.525E+00     3.005E+00     1.024E-06     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.231E+03     5.816E+01     2.364E+02     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     4.001E+00
wol           2.407E-04     1.069E-02     2.417E-03     9.629E-03     1.195E-04     5.487E-05     1.385E-03     2.848E-04     1.308E-02     8.417E-03     9.737E-03     7.700E+01     2.013E-02     9.653E-03     2.657E-04     5.424E-06     4.101E-04     7.433E-04     1.701E-03     7.777E-04     7.834E-05     3.164E-03     1.135E-04     3.122E-05     2.768E-03     1.318E-04     3.695E+01     5.294E-04     1.107E-03     4.265E-04     1.000E-06     5.842E-05     7.203E-03     1.317E-03     3.290E-04     5.942E-04     4.110E-07     1.284E-10     5.336E-04     4.580E-07     8.938E-05     7.447E-02     1.014E-04     8.151E-05     4.500E-08     1.048E-01     1.799E-01     2.437E-02     6.794E-01     9.725E-02     5.257E-03     3.680E-07     1.000E-08     1.362E-01     6.551E-02     4.373E-02     6.000E-09     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     3.517E+02     1.662E+01     6.752E+01     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.702E+01
frs           1.279E+00     4.177E+01     1.706E+01     3.986E+01     6.513E-01     1.726E-01     8.195E+00     3.240E-01     3.471E+01     2.970E+01     3.124E+01     6.135E+00     1.297E+01     4.293E-03     2.744E-01     6.048E-04     1.344E-04     1.027E+00     1.045E-01     2.608E-02     3.062E-03     1.510E-01     4.124E-03     3.786E-04     1.128E-01     3.431E-04     1.635E-01     1.229E-01     2.030E-04     6.441E+01     2.223E-03     1.724E-05     2.761E-03     1.371E-02     6.204E-02     1.127E-01     2.822E-05     2.900E-07     7.698E-02     2.602E-02     1.204E-05     1.469E-02     2.655E-02     2.160E-02     7.812E-06     1.814E-02     9.080E-02     4.211E-01     3.360E-02     7.916E-03     2.313E-02     1.010E-05     4.700E-06     6.460E-01     7.125E+00     9.180E-02     2.079E-05     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.911E+01     5.198E+00     2.053E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00
fsh           5.563E-03     1.886E-01     7.653E-02     1.766E-01     2.927E-03     7.691E-04     3.700E-02     1.449E-03     1.588E-01     1.378E-01     1.428E-01     2.560E-02     1.059E-05     1.827E+02     4.430E-07     1.337E-06     7.900E-08     7.574E-06     9.496E+01     2.374E+01     2.714E+00     1.362E+02     3.603E+00     3.306E-01     9.673E+01     1.169E-04     1.281E-05     4.230E-07     4.507E-06     8.802E-06     4.174E-06     3.980E-07     2.358E-05     7.621E-06     2.284E-05     1.851E-06     1.262E-06     2.000E-09     1.522E-06     3.000E-08     2.808E-06     4.176E-04     8.313E-04     6.662E-04     2.410E-07     7.010E-07     1.574E+01     4.548E-01     4.081E-01     9.933E-02     1.003E-02     6.933E-05     1.362E-06     5.936E-02     1.114E+01     3.652E+01     1.296E-05     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.847E+00
coa           8.294E-03     2.786E-01     1.131E-01     2.619E-01     4.350E-03     1.128E-03     5.404E-02     2.138E-03     2.326E-01     2.012E-01     2.101E-01     3.854E-02     5.314E-03     1.534E-03     7.879E-01     5.214E-02     6.367E-04     2.340E+00     3.627E+00     9.071E-01     1.041E-01     5.211E+00     1.377E-01     1.270E-02     3.712E+00     1.724E-05     1.016E+00     6.260E+00     1.545E-05     7.614E-01     6.172E+00     1.560E+02     4.632E+01     5.026E+01     4.062E+01     6.270E+00     4.300E-03     1.287E-01     8.829E-01     1.463E+01     6.001E-01     1.297E+01     9.411E+02     6.771E-02     1.275E-04     7.393E+00     3.184E+00     1.676E-01     3.458E-03     7.980E-05     2.063E-02     2.828E-06     4.400E-08     2.992E-01     1.220E+00     9.706E+00     4.000E-08     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     7.604E-01     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.144E+03
oil           8.156E-04     2.126E-02     7.291E-03     2.338E-02     2.213E-04     9.376E-05     5.119E-03     1.582E-04     1.701E-02     3.825E-03     1.047E-02     2.885E-03     3.580E-07     1.999E-06     6.087E-02     4.129E+00     1.065E+00     7.616E-01     2.951E-02     6.085E-03     2.092E-03     5.391E-02     1.087E-03     2.242E-04     5.462E-02     3.911E-06     1.347E-02     1.085E-06     2.016E-06     4.896E-03     1.187E-02     5.167E+03     3.376E+00     5.195E-02     3.944E-01     3.829E-01     1.347E-06     1.230E-07     7.397E-03     1.328E-06     1.453E-03     1.950E-05     2.790E+01     2.531E+00     1.517E-06     1.329E-01     5.681E-04     4.688E+00     2.015E-02     2.398E-02     1.894E-02     4.800E-08     2.000E-09     3.028E-03     1.230E-04     1.780E-04     4.864E-10     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     2.240E+04
gas           1.903E-05     6.490E-03     4.750E-03     5.059E-03     2.134E-04     1.625E-05     2.638E-04     7.017E-05     5.189E-03     1.299E-02     8.652E-03     3.036E-03     3.480E-07     2.138E-06     2.191E-02     6.945E+02     2.487E+02     2.681E+00     1.804E+00     5.184E-01     2.196E-02     2.677E+00     6.917E-02     3.143E-03     1.612E+00     2.034E-05     1.425E-01     5.365E-06     2.457E-05     1.928E-01     7.197E+00     2.238E+02     8.744E+01     1.433E+01     1.734E+01     6.629E+00     7.307E-05     1.191E-06     4.095E-01     1.330E-03     1.291E-01     1.688E-02     5.016E+02     7.620E+02     1.238E-02     1.672E+00     2.372E+01     3.512E+00     3.112E-03     3.775E-03     3.709E+02     3.948E-04     1.011E-05     1.006E+02     1.013E+01     1.577E+01     2.700E-08     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     2.969E+03
omn           4.093E-02     1.300E+00     5.349E-01     1.253E+00     2.031E-02     5.469E-03     2.575E-01     1.013E-02     1.066E+00     8.999E-01     9.561E-01     2.036E-01     1.172E-01     9.934E-01     3.854E+00     3.889E+00     7.171E-01     6.118E+02     2.033E+00     5.109E-01     6.047E-02     2.972E+00     7.784E-02     7.465E-03     2.196E+00     2.466E-02     1.405E-01     1.708E-03     1.575E+00     4.200E+00     1.479E-02     3.959E-02     2.198E+02     1.867E+02     1.373E+03     2.480E+03     6.999E-04     2.191E-03     1.941E-01     2.733E-01     1.233E-01     1.506E-03     6.313E-01     5.153E-01     3.514E-01     1.870E+02     8.053E+01     1.141E+01     1.869E+00     1.298E+00     9.015E-01     1.799E-05     5.240E-07     1.243E+01     2.470E+00     4.716E+01     2.576E-04     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     3.308E+01     0.000E+00     1.569E+02     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.735E+03
cmt           1.257E-02     3.617E-01     1.321E-01     4.184E-01     6.351E-03     2.175E-03     3.670E-02     1.467E-02     4.430E-01     4.449E-01     3.820E-01     4.147E-02     4.440E-03     5.909E-02     4.223E-02     8.582E-02     1.374E-02     1.054E-01     6.067E+01     1.277E-01     9.433E-04     5.681E-02     4.076E-04     1.307E-04     8.007E-02     4.506E-04     1.538E-01     7.055E-01     4.072E+01     4.651E-02     1.223E-01     8.692E-03     1.821E+00     6.328E-02     1.473E-02     2.661E-02     4.269E-06     1.139E-05     1.959E-02     2.180E-02     1.419E-03     5.874E-01     3.607E-02     2.946E-02     7.544E-04     6.946E-05     2.154E+01     1.404E+00     6.833E-01     8.239E-02     1.093E-01     3.691E-02     9.946E-05     2.496E-01     1.974E+01     3.680E+01     7.700E-07     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     2.197E+03     6.069E+01     2.338E+02     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     7.435E+00
omt           1.449E-04     4.171E-03     1.374E-03     4.905E-03     7.321E-05     2.509E-05     2.174E-03     1.741E-04     5.318E-03     5.932E-03     4.791E-03     9.766E-04     3.630E-03     3.344E-02     2.403E-02     4.840E-02     8.141E-03     5.955E-02     1.270E-02     4.768E+01     4.101E-04     8.964E-03     3.114E-04     1.146E-04     1.115E+01     1.203E-04     8.707E-02     3.990E-01     6.876E-02     2.666E-02     7.029E-02     4.654E-03     1.030E+00     3.456E-02     8.661E-03     1.564E-02     5.557E-06     8.645E-06     1.125E-02     1.257E-02     7.455E-04     3.328E-01     2.069E-02     1.690E-02     4.275E-04     1.882E-05     1.253E+01     5.481E-01     5.243E-01     3.412E-02     5.893E-02     2.069E-02     3.010E-05     1.415E-01     1.118E+01     2.109E+01     1.297E-05     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     7.987E+02     1.909E+01     7.969E+01     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.960E+00
vol           4.326E-04     1.222E-02     4.065E-03     1.394E-02     3.281E-04     8.429E-05     3.090E-03     4.867E-04     2.324E-02     2.688E-02     2.396E-02     1.477E-03     9.447E-04     1.108E-02     7.750E-03     2.133E-02     4.554E-04     1.940E-02     2.892E-03     1.240E-03     2.834E-01     2.019E-02     2.355E-04     1.430E-04     2.554E+00     3.809E-03     2.820E-02     1.288E-01     4.837E-03     8.774E-03     2.287E-02     4.032E-03     3.376E-01     1.124E-02     2.794E-03     5.069E-03     5.811E-06     2.724E-06     3.624E-03     4.053E-03     2.638E-04     1.075E-01     6.676E-03     5.444E-03     1.386E-04     4.697E-05     4.029E+00     4.314E-01     7.942E-03     9.879E-02     1.013E-02     6.685E-03     2.868E-05     4.654E-02     3.601E+00     6.792E+00     7.031E-06     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     2.043E+02     1.542E+00     1.434E+01     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     5.237E+01
