" ","AAgroFood","AMining","AEnergy","AMetMinPr","AManufact","AConst","AUtility","ATrade","ATransCom","AOthServ","CAgroFood","CMining","CEnergy","CMetMinPr","CManufact","CConst","CUtility","CTrade","CTransCom","COthServ","UnSkLab","SkLab","Capital","Land","Water","ENT","HH","Govt","Itax","TTax","DTax","CapAcct","ROW","Total"
"CManufact",57.041822090,7.375302610,27.515872320,49.680888940,183.310396770,44.239896510,3.775706330,42.030486100,132.544333140,142.578430150,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,127.338813350,0.552712510,0.000000000,0.000000000,0.000000000,62.546130340,576.455017500,1456.985808660
"CConst",0.663437990,0.622072070,2.079529420,2.840453960,3.136884330,13.541238840,2.094735810,1.547526900,30.110940520,26.732526780,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000153780,1.395420020,0.000000000,0.000000000,0.000000000,593.355500000,3.745499110,681.865919530
"CUtility",21.979168880,17.392044690,8.653350700,22.501778640,41.009461730,15.275560750,32.533262590,50.038763630,60.325582000,120.695069740,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,144.484200000,3.947986450,0.000000000,0.000000000,0.000000000,10.889057470,25.905396300,575.630683570
"CTrade",78.397046340,15.990502610,8.342174820,27.298633470,56.855348700,80.286077040,16.081205960,82.560266600,105.187569440,87.646429520,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,545.047700000,2.396659830,0.000000000,0.000000000,0.000000000,189.691188110,48.956692970,1344.737495410
"CTransCom",45.128744300,30.447960890,30.102789890,44.445072570,90.887084250,176.950000000,31.309826060,110.203776290,314.869900000,801.510136680,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1126.997000000,14.260902420,0.000000000,0.000000000,0.000000000,0.014876570,2031.824000000,4848.952069920
"COthServ",47.299656000,10.578068240,10.361447330,21.343361210,32.750091850,62.688544780,16.247650600,66.919777600,136.609220350,1154.224709910,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,719.179898960,936.147723550,0.000000000,0.000000000,0.000000000,208.847375160,197.413831920,3620.611357460
"UnSkLab",47.485578140,3.847902970,9.587309320,0.000435310,41.579730670,0.002917060,26.929582410,203.179174810,96.283824970,264.103462780,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,692.999918440
"SkLab",0.003629240,70.201999370,70.341481550,0.000435310,97.682231650,0.002917060,23.843755020,199.795042470,89.576895890,141.551681740,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,693.000069300
"Capital",385.499377430,1096.490712520,38.195159990,51.706145240,82.647632150,81.912203600,44.304875980,314.946636070,784.120000000,567.395279250,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3447.218022230
"Land",0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
