table sam0(s0,ss0) Billions of Current USD
              pdr           wht           gro           v_f           osd           c_b           pfb           ocr           ctl           oap           rmk           wol           frs           fsh           coa           oil           gas           omn           cmt           omt           vol           mil           pcr           sgr           ofd           b_t           tex           wap           lea           lum           ppp           p_c           crp           nmm           i_s           nfm           fmp           mvh           otn           ele           ome           omf           ely           gdt           wtr           cns           trd           otp           wtp           atp           cmn           ofi           isr           obs           ros           osg           dwe           UnSkil        Skill         Captl         LandR         natrs         hhsld         gov           inv           depry         trdmg         indtx         prdtx         imptx         exptx         dirtx         row
rmk           8.185E-03     4.058E+01     2.092E+01     2.100E+01     2.287E+00     1.125E+00     1.043E+01     2.656E+00     1.334E-02     5.038E-03     7.049E+00     2.241E+00     2.340E-01     1.026E-01     2.163E-10     1.000E-09     1.000E-09     5.473E-01     1.975E-02     6.787E-03     1.007E+01     2.769E+02     4.452E-03     4.702E+01     1.891E+00     3.847E+00     2.559E+00     1.010E+00     6.292E-02     3.659E-01     1.657E-02     1.113E-03     1.394E+00     1.031E-01     1.483E-04     1.720E-07     1.455E-03     4.000E-09     2.060E-06     1.310E-07     1.205E-03     1.805E+00     8.570E-04     8.329E-10     5.100E-08     5.844E-06     9.760E-02     1.072E-03     1.525E-02     3.066E-03     6.600E-08     1.210E-07     8.900E-08     8.060E-04     1.192E-03     3.155E+01     2.970E-07     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.037E+02     0.000E+00     9.244E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     8.363E-01
wol           2.620E-07     5.361E-03     3.478E-04     3.104E-03     5.573E-06     3.163E-04     3.999E-03     1.056E-04     8.911E-03     9.062E-03     4.215E-03     1.113E+03     5.453E-05     1.800E-08     6.029E-11     4.088E-12     2.375E-10     5.533E-02     2.663E-02     1.267E-02     3.766E-02     1.525E-02     4.363E-03     3.284E+00     5.937E+00     1.043E+01     4.317E+02     6.128E+02     7.911E-01     1.579E+01     3.746E+00     1.496E-02     6.163E+01     1.134E+00     8.424E-01     3.500E-08     1.829E+00     2.513E-01     2.825E-01     4.919E+00     2.131E+00     3.432E+01     1.400E-07     2.961E-10     1.000E-08     1.100E-08     2.545E+00     4.543E+00     1.221E+01     3.221E+00     1.900E-08     1.030E-07     2.000E-08     4.488E-05     7.941E-06     1.071E+02     2.000E-09     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     9.520E+01     1.259E+00     5.013E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     6.678E+00
frs           4.187E-06     1.271E+00     5.961E-01     1.864E+00     1.912E-02     8.924E-02     1.660E-02     1.549E-01     2.072E-02     2.026E-02     9.981E-03     3.528E-02     7.025E+00     2.501E-01     3.030E-07     1.780E-07     2.200E-08     4.436E-03     1.758E-01     3.345E-02     6.767E-02     5.626E-02     5.595E-05     3.280E-01     1.174E+00     1.805E-02     1.970E-02     1.858E-02     2.872E-03     3.962E-01     4.655E-02     3.649E-06     2.689E-02     1.948E-02     1.351E-04     2.861E-03     8.084E-05     8.165E-06     5.734E-06     1.271E-04     3.478E-05     6.357E-03     5.275E-06     7.434E-10     1.572E-06     1.792E-02     1.574E-02     4.654E-03     1.017E-03     7.107E-04     5.877E-06     2.421E-06     8.059E-06     4.630E-04     1.154E-04     1.656E-01     5.741E-06     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.268E+02     0.000E+00     4.068E+02     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     7.608E+00
fsh           5.800E-08     3.762E-05     6.453E-05     1.033E-05     1.544E-05     3.575E-03     8.774E-02     3.004E-05     5.234E-02     5.347E-02     2.473E-02     1.047E-01     5.604E-02     1.290E+01     1.990E-10     3.665E-10     1.127E-11     2.564E-02     4.785E-01     9.172E-02     4.178E-01     1.501E-01     7.239E-03     1.995E+00     7.543E+00     1.428E-01     1.075E-01     3.930E-02     4.149E-05     1.072E-03     7.244E-06     4.300E-08     5.121E-02     4.130E-03     6.921E-06     2.040E-07     2.483E-06     3.500E-08     5.530E-07     1.900E-08     3.212E-06     7.915E-02     9.900E-08     2.241E-10     4.600E-08     2.460E-07     3.947E-02     1.087E-05     2.915E-05     6.628E-06     1.640E-07     1.566E-05     2.229E-06     2.564E-04     4.825E-03     1.026E+00     3.321E-06     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     4.378E+02     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     2.089E+02
coa           1.172E-12     1.189E-05     5.426E-06     1.642E-05     1.000E-09     2.000E-09     1.970E-10     2.000E-09     2.000E-09     6.000E-09     2.000E-09     2.000E-09     4.000E-09     3.607E-10     2.243E-05     1.400E-07     1.390E-10     1.512E+00     1.865E-04     6.806E-05     2.895E-03     2.147E-04     1.773E-06     1.220E+00     2.094E+00     2.116E-04     1.767E-01     5.872E-02     1.243E-01     7.038E-02     6.232E-01     1.201E-03     2.208E+00     6.097E+00     1.749E+00     2.467E-01     2.729E-02     1.532E-02     7.497E-02     2.503E-01     8.520E-01     7.420E-01     3.387E+02     1.970E-07     1.274E-03     1.747E-01     2.001E-04     3.836E-06     4.458E-06     5.000E-09     5.050E-07     9.997E-06     5.240E-06     1.178E-04     1.933E-05     9.554E-01     1.200E-08     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     2.306E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00
oil           1.000E-08     7.120E-05     1.062E-05     1.199E-04     7.240E-07     4.344E-06     2.702E-06     1.109E-05     1.178E-06     6.890E-07     4.420E-07     3.127E-06     2.702E-06     2.295E-06     9.790E-07     4.012E-05     3.399E-05     1.537E-02     6.140E-07     1.350E-07     3.630E-07     4.380E-07     5.400E-08     4.066E-04     3.734E-04     1.864E-06     6.153E-05     2.180E-05     3.056E-05     1.095E-06     2.140E-06     3.512E+03     2.634E-04     1.099E-05     3.418E-05     1.746E-05     4.370E-05     1.183E-05     9.738E-06     2.603E-05     9.231E-05     5.260E-06     2.128E-04     1.495E-05     4.500E-08     2.504E-05     5.730E-07     1.323E-04     1.858E-06     2.030E-06     3.900E-08     9.000E-09     3.000E-09     6.365E-06     3.800E-08     2.633E-04     2.032E-10     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00
gas           5.591E-12     3.776E-05     2.226E-05     4.142E-05     6.840E-07     1.620E-07     1.520E-07     1.106E-05     5.600E-07     8.240E-07     2.980E-07     1.120E-05     5.370E-07     1.990E-06     3.430E-07     3.456E-05     6.749E-06     7.763E-01     6.195E-04     3.241E-04     1.164E-04     1.098E-03     2.433E-05     4.227E-02     2.692E-01     2.408E-04     2.540E-03     2.109E-03     5.017E-03     5.671E-03     1.712E-01     8.338E-01     2.487E+00     3.847E-01     4.591E-01     1.405E-01     1.314E-01     1.442E-02     7.992E-02     1.846E-01     2.317E-01     1.253E-01     1.352E+02     3.630E-05     4.301E-05     4.209E-02     1.110E-03     1.300E-04     1.580E-07     1.150E-07     4.109E-05     1.591E-06     1.500E-07     2.750E-03     7.519E-04     3.267E-01     1.200E-08     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00
omn           1.962E-06     4.004E-01     1.898E-01     2.006E-01     7.174E-03     7.430E-02     4.200E-03     2.288E-02     5.762E-03     5.904E-03     2.936E-03     1.026E-02     1.066E-04     2.281E-05     1.597E-05     3.106E-05     3.479E-06     2.829E+01     4.978E-02     9.553E-03     2.666E-02     1.580E-02     1.005E-06     2.184E-01     6.259E-01     2.871E-04     3.648E-04     3.107E-05     9.770E-04     2.440E+00     2.654E-01     1.701E-03     1.899E+03     1.092E+02     3.412E+01     6.016E+01     1.848E+00     1.575E-02     5.754E-03     2.489E-04     2.890E-02     1.824E+02     1.329E-04     4.360E-07     5.379E-05     1.437E+02     1.388E-01     2.677E-01     1.347E-01     1.050E-01     1.309E-05     3.916E-06     8.420E-07     3.307E-04     1.329E-04     7.300E-01     6.777E-05     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.343E+03
cmt           1.196E-04     1.326E+01     4.219E+00     5.111E+00     1.106E-01     3.567E-02     6.410E-01     2.101E-01     4.786E-03     1.104E-02     2.700E-03     2.440E+00     8.591E-01     2.083E-01     3.000E-09     1.400E-08     1.000E-09     5.783E-01     4.411E+01     1.290E-01     1.143E+01     1.607E-02     7.198E-03     4.988E+01     9.413E+01     4.646E+00     2.725E+00     1.069E+00     5.194E-01     9.063E-02     1.747E-02     1.238E-03     1.850E+00     1.118E-01     8.831E-05     5.910E-07     1.585E-03     6.600E-08     9.924E-06     5.730E-07     1.492E-03     2.279E+00     8.642E-04     4.246E-10     1.440E-07     2.667E-05     2.561E-01     6.940E-03     1.324E-02     1.502E-03     4.331E-06     4.734E-06     1.769E-04     1.191E-03     1.336E-02     4.188E+01     1.810E-07     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.752E+03     0.000E+00     1.495E+02     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     2.725E+01
omt           4.487E-06     6.368E+00     1.913E+00     2.390E+00     1.762E-02     1.355E-02     6.960E-02     8.215E-02     1.819E-03     3.927E-03     1.066E-03     1.169E+00     1.247E-01     5.385E-02     2.951E-10     1.000E-08     9.677E-10     2.884E-01     1.135E-02     1.332E+01     5.306E+00     3.295E-03     2.352E-03     2.478E+01     3.033E+02     2.026E+00     1.348E+00     5.338E-01     8.834E-02     6.151E-03     8.745E-03     5.881E-04     7.362E-01     5.440E-02     3.515E-05     3.680E-07     8.179E-04     2.026E-06     4.235E-06     7.740E-07     6.624E-04     1.162E+00     4.503E-04     1.000E-09     1.920E-07     7.178E-06     6.589E-02     2.667E-03     7.354E-03     5.739E-04     3.178E-06     8.358E-06     5.348E-05     9.008E-04     1.100E-02     1.665E+01     3.566E-06     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     4.760E+02     0.000E+00     4.125E+01     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     3.132E+01
