id,lat,lon,province,district,commune,date
1,105.5219,12.0246,Kampong Cham,Batheay,Balaing,9/4/06
2,105.38,12.06,Kampong Cham,Ponhea Kraek,Kreak,4/12/07
3,104.58,11.25,Kampong Speu,Kong Pisei,NA,4/13/06
4,104.3433,10.7709,Kampot,Angkor Chey,NA,4/13/06
5,105.4362,11.3388,Prey Veng,Preah Sdach,NA,8/14/06
6,104.88,11.4,Kandal,Kandal Steung,Deumrus,12/16/08
